x,y
0.233077,0.320746
0.121391,0.226558
0.282473,0.356729
0.582694,0.552888
0.831881,0.731041
0.876283,0.771185
0.259249,0.340091
0.780399,0.689505
0.758273,0.672783
0.714561,0.641177
0.777141,0.687007
0.832225,0.731334
0.984958,0.921725
0.255842,0.337611
0.953071,0.860986
0.410500,0.442714
0.113008,0.218262
0.325595,0.386586
0.296226,0.366384
0.254846,0.336884
0.413900,0.444912
0.409800,0.442261
0.575120,0.548005
0.961547,0.874349
0.845475,0.742808
0.347058,0.401048
0.667371,0.608649
0.771392,0.682630
0.417291,0.447103
0.188708,0.286083
0.343958,0.398973
0.650368,0.597232
0.310099,0.375992
0.626431,0.581372
0.233062,0.320735
0.141980,0.245952
0.502714,0.501728
0.492310,0.495104
0.922378,0.820255
0.260988,0.341353
0.206871,0.300601
0.699519,0.630656
0.093213,0.197519
0.191830,0.288614
0.955361,0.864474
0.046284,0.138039
0.602330,0.565609
0.068369,0.168418
0.371879,0.417515
0.898556,0.793640
0.323215,0.384968
0.785778,0.693660
0.308355,0.374791
0.898335,0.793408
0.747326,0.664704
0.153831,0.256580
0.245393,0.329937
0.414697,0.445427
0.925222,0.823667
0.662684,0.605488
0.603405,0.566308
0.269181,0.347262
0.313052,0.378022
0.913503,0.809958
0.895612,0.790555
0.546114,0.529399
0.055483,0.151377
0.398326,0.434818
0.038424,0.125604
0.977861,0.904924
0.659314,0.603222
0.245296,0.329864
0.677380,0.615438
0.752527,0.668527
0.437125,0.459866
0.632741,0.585531
0.798810,0.703887
0.039455,0.127300
0.701111,0.631762
0.170689,0.271140
0.938011,0.839812
0.024326,0.099699
0.956467,0.866190
0.246366,0.330655
0.922661,0.820592
0.703793,0.633629
0.400197,0.436034
0.168055,0.268904
0.118490,0.223716
0.325419,0.386466
0.830739,0.730071
0.721895,0.646366
0.594600,0.560589
0.143791,0.247600
0.635398,0.587287
0.490211,0.493768
0.689905,0.624011
0.690881,0.624682
0.888538,0.783297
0.728329,0.650954
0.668742,0.609576
0.547851,0.530510
0.973625,0.896151
0.346122,0.400422
0.300378,0.369273
0.410750,0.442876
0.978863,0.907116
0.099188,0.203970
0.450205,0.468247
0.679974,0.617206
0.269878,0.347762
0.388216,0.428229
0.704300,0.633983
0.226345,0.315652
0.634582,0.586747
0.626961,0.581721
0.930138,0.829709
0.034778,0.119422
0.795016,0.700885
0.048628,0.141550
0.360197,0.409796
0.625755,0.580927
0.770523,0.681972
0.954797,0.863607
0.769546,0.681232
0.405921,0.439748
0.445008,0.464920
0.459451,0.474157
0.096802,0.201415
0.333546,0.391970
0.187781,0.285328
0.765544,0.678216
0.881397,0.776173
0.161406,0.263198
0.111666,0.216908
0.181775,0.280402
0.572156,0.546097
0.090529,0.194561
0.280963,0.355661
0.022361,0.095556
0.770503,0.681956
0.550841,0.532422
0.410577,0.442763
0.474803,0.483952
0.777186,0.687042
0.045158,0.136324
0.101764,0.206697
0.707324,0.636095
0.079937,0.182481
0.896779,0.791774
0.755953,0.671060
0.440134,0.461797
0.522534,0.514350
0.526476,0.516863
0.394931,0.432609
0.292080,0.363488
0.932396,0.832550
0.839939,0.737968
0.751531,0.667793
0.029198,0.109318
0.173485,0.273498
0.939311,0.841537
0.794741,0.700668
0.054882,0.150540
0.100717,0.205592
0.906407,0.802066
0.236657,0.323435
0.672873,0.612374
0.996936,0.964744
0.517621,0.511220
0.695234,0.627687
0.767439,0.679643
0.068462,0.168534
0.105810,0.210920
0.242242,0.327600
0.845648,0.742960
0.150969,0.254046
0.344006,0.399005
0.552972,0.533786
0.230906,0.319109
0.240785,0.326517
0.308924,0.375183
0.671040,0.611131
0.763319,0.676548
0.835400,0.734049
0.065971,0.165368
0.055399,0.151260
0.767796,0.679912
0.905910,0.801523
0.806930,0.710384
0.796994,0.702448
0.079395,0.181844
0.746241,0.663910
0.591736,0.558734
0.134278,0.238846
0.846958,0.744116
0.498143,0.498818
0.370935,0.416894
0.519831,0.512628
0.495079,0.496867
0.888555,0.783316
0.215064,0.306993
0.262518,0.342461
0.957017,0.867050
0.320875,0.383373
0.504760,0.503031
0.802665,0.706959
0.471843,0.482065
0.848766,0.745718
0.355637,0.406768
0.702749,0.632902
0.089551,0.193473
0.664561,0.606753
0.373788,0.418773
0.852870,0.749385
0.499961,0.499975
0.439759,0.461556
0.908269,0.804109
0.267757,0.346239
0.345669,0.400119
0.715198,0.641626
0.064752,0.163798
0.425065,0.452114
0.461439,0.475427
0.656488,0.601326
0.559342,0.537868
0.308397,0.374820
0.154631,0.257286
0.930277,0.829883
0.828228,0.727945
0.649710,0.596793
0.818833,0.720100
0.043292,0.133435
0.912228,0.808519
0.775850,0.686020
0.364167,0.412425
0.416989,0.446907
0.578514,0.550191
0.836010,0.734573
0.265754,0.344798
0.934151,0.834788
0.538759,0.524699
0.355305,0.406548
0.598712,0.563258
0.912547,0.808878
0.208175,0.301624
0.098673,0.203421
0.352306,0.404551
0.116444,0.221693
0.366430,0.413922
0.697976,0.629585
0.831642,0.730838
0.431182,0.456050
0.123041,0.228161
0.293082,0.364188
0.087670,0.191366
0.682383,0.618851
0.601479,0.565055
0.242301,0.327644
0.612660,0.572343
0.429707,0.455101
0.892010,0.786834
0.431493,0.456249
0.472999,0.482802
0.804239,0.708219
0.207342,0.300971
0.837166,0.735568
0.221227,0.311743
0.785857,0.693721
0.673176,0.612580
0.486982,0.491711
0.720007,0.645027
0.211934,0.304562
0.842287,0.740012
0.318719,0.381902
0.124482,0.229554
0.050462,0.144240
0.417392,0.447168
0.476788,0.485217
0.166906,0.267925
0.783823,0.692146
0.174764,0.274571
0.998549,0.975742
0.215005,0.306947
0.297805,0.367484
0.291630,0.363173
0.302675,0.370866
0.980188,0.910093
0.893109,0.787964
0.544975,0.528671
0.592848,0.559454
0.322816,0.384696
0.436986,0.459777
0.024341,0.099729
0.795816,0.701516
0.241224,0.326844
0.231683,0.319695
0.632981,0.585690
0.462451,0.476073
0.017539,0.084560
0.306157,0.373274
0.949433,0.855608
0.737547,0.657586
0.518091,0.511520
0.791720,0.698294
0.056266,0.152463
0.642573,0.592042
0.842183,0.739921
0.473659,0.483223
0.119361,0.224572
0.009089,0.060785
0.257481,0.338806
0.294125,0.364918
0.007638,0.055708
0.472486,0.482476
0.591930,0.558859
0.299268,0.368502
0.775161,0.685495
0.572117,0.546072
